review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R3PFYRWO4FOQYY,5,5,21,N,N
R33KPIXNJT1BPG,5,24,28,N,Y
R31AKV2UTTN73Y,5,198,214,N,Y
R1D4XX9S12CD27,5,28,68,N,N
RB7FTTD1IRIE0,1,2,21,N,Y
R26S6EQ19Z8FRE,2,81,93,N,Y
RD55ZVQ39H1ZZ,2,5,34,N,Y
R2V6Y4JWG9AGZ0,1,25,30,N,Y
R24OP6Y61KFLWA,5,25,32,N,N
RVVV8YBET08G9,1,5,35,N,Y
R2TT0QWWSJJHT6,5,160,167,N,N
R3DQG7IEHYN9P6,5,14,29,N,N
R3EF266FS6YZ3G,5,18,21,N,Y
RNVMPW6DCWCEU,5,44,45,N,Y
R1KSBBX25MAQX4,5,21,28,N,N
R1Z7MWY268U9DM,5,32,32,N,Y
R3U01SVNIO29JG,5,45,50,N,Y
RKD1AG87JNGB4,4,27,31,N,N
R1PKLXJPNCC3HE,5,207,230,N,Y
R2UU29K307843X,4,883,924,N,Y
RHULHKMHWWP54,1,28,29,N,Y
R31NFPI2TEM1TV,1,1,21,N,N
RON4V5M8AWYWL,5,26,27,N,N
R3TUD55LBVIJAF,5,79,87,N,N
R2ETRF52EXZ1KC,5,18,20,N,Y
R2P4MEKF1MNIVZ,1,0,39,N,N
R3JYF1518I7MFE,1,7,144,N,Y
R2UH3J4TFJ53E2,5,33,35,N,Y
R3GI8A4L12TWA3,1,21,23,N,N
R136D9A726N45K,1,0,22,N,Y
RV0GXJ38T6TBP,5,27,27,N,Y
RL1GMDOIYPSOO,5,51,52,N,Y
R252MJ67K4TWR5,1,2,25,N,Y
RLPKDAZ0NX4WG,4,20,24,N,Y
R23UPXZ2LXQ4N1,5,28,31,N,Y
R2ZEPGBRBRLVSP,5,21,22,N,N
R2OQE4WLGHP5OW,3,41,46,N,Y
R1XU5UJTYWCGSU,1,3,49,N,N
RNAWAC41GGHSU,5,17,21,N,Y
R3SSJSJOQE3696,1,7,23,Y,N
R1WMAMY49Y78CH,1,3,53,N,N
RMLSXUOKK05QQ,3,45,48,N,Y
R2YP3SXCVKWMX9,4,34,38,N,Y
R39N6PWOCCOGJV,2,7,37,N,Y
R1FLF4FMBF1J1,5,9,21,N,Y
R24ML5GZXDMZV0,1,25,26,N,Y
R2LT30VOE37GNY,1,19,21,N,Y
R7687N9QQFPJ6,4,20,21,N,Y
R2IHN82GT66K4X,5,52,54,N,Y
RWADBTABLY4EA,1,20,22,N,Y
R2I32OJLN3SIBI,1,38,47,N,Y
R95N98PL0FBTS,1,2,29,N,N
R1IWCOP36CGEHG,2,14,21,N,Y
R2213CTX4DQDUD,1,1,21,N,Y
R5NG225A36PR6,5,27,27,N,Y
R1OZMVA78Z0WDG,1,2,20,N,N
RY4OC58EZEKM5,5,24,25,N,Y
R22LVVOK97IYNE,1,40,52,N,Y
R1VTTOTBR50UGG,1,12,20,N,Y
R3RK4QELW2BIRN,3,39,44,N,Y
R135VA6GZFMDI5,1,18,37,N,Y
R22OFXM9NG4AFC,1,133,169,N,Y
R115IR6KA8DYY4,4,81,85,N,Y
R1SE0W0DKX58H3,1,62,91,N,Y
R22SICDJXXO89A,5,335,351,N,Y
R3HFYJ3ZRG22M3,5,20,25,N,Y
R33KTMTW2PWWY0,4,17,25,N,N
R3J0PFZYV829IT,5,22,22,N,Y
R1MUWK3IPS2Q4P,1,6,23,N,Y
R34KP52X8S90YX,5,47,47,N,Y
R1JDKY6WR0LUYP,3,33,37,N,Y
R1HAKS1AUY1384,3,40,45,N,Y
R3L1MD8M6MZTLF,2,0,50,N,Y
RPJMCRD2GIUBS,5,17,21,N,Y
R3G934ZMXJL698,1,103,118,N,Y
R2CZXO8VH1J58U,5,22,23,N,N
R3550CBW30DEYV,4,20,22,N,Y
R2HNV148YIR0VT,5,63,72,N,N
R13EC8LYPXHUQ4,5,39,43,N,Y
R2UNOVSTHH4TB1,5,29,31,N,Y
R1WCAV8R8JML12,4,59,67,N,Y
R20N9D6QLXVRVA,5,23,24,N,Y
RICY1N1FNKQTY,4,4,23,N,N
R35YHQ5VH4XQVY,4,37,39,N,Y
RS1Q3EJGM3ZF6,1,26,35,N,Y
R3D7PSBTE3K4,2,1,20,N,Y
R2NJ55GYA6CHH,2,9,21,N,N
R16EP5LETOPCNE,1,19,24,N,Y
R1WBBHH3J4GL1U,4,26,26,N,N
R3NSHUVMJ5HA53,3,8,45,N,Y
R2KYA8Z73THSM8,1,15,25,N,N
RFB77QYBXNGQZ,3,34,36,N,Y
R3JSDTI80GTQNU,1,4,33,N,N
R2L565VRWY7TSR,5,1,55,N,N
R1Z6OFIGNL14X,1,23,26,N,Y
R2EM73BZ7PFZ88,5,26,31,N,Y
R3M6W9Y4TOUAIV,3,2,21,N,Y
R1F6GORRDUF7K2,3,30,32,N,Y
R2OID2AX4ANEII,4,22,23,N,N
R1YCP078NISNUN,3,20,25,N,N
R1UNY1EUXML5BG,5,66,70,N,N
R4780GRPKVNPK,1,25,28,N,Y
R2UAQBU6UD9URN,1,17,20,N,Y
R1JFDWIFZLP190,5,59,60,N,Y
RVKYP74O1MJOG,5,27,36,N,Y
R63FOB95PXHGZ,5,23,23,N,Y
R3DPZ1O2OZZX5B,5,17,22,N,N
R14M49WYG3GXJR,5,39,45,N,Y
RRUY5QFZBQNR4,1,22,34,N,Y
RVKRILOHOX8LU,4,44,48,N,N
R2YT8KA1JSFA0W,5,583,606,N,Y
RW4Y7OSR9RSHX,2,14,35,N,N
RQTU90C506SDF,1,50,56,N,Y
R104N0QLVPRCVF,5,24,25,N,Y
R19GKIBPWZKKGZ,5,44,47,N,Y
R1RTVRQV40L559,5,37,40,N,Y
R2R3FPRZIJWEAG,5,25,26,N,Y
RV5GSJYNPSS9E,5,45,47,N,N
R104XJEJXNTATK,1,60,77,N,Y
R3K77L6H6NBB4A,5,54,64,N,N
R95H28VJOAF41,1,4,28,N,Y
R1SUVWLCVSI3GV,3,26,26,N,Y
R3QG3HT44VW9MN,2,5,20,N,Y
R2ZSWSXV2XBDUP,1,4,21,N,Y
R1KKQ9ZFQ9EI6O,5,22,23,N,Y
R1EVE18C7M68B9,1,16,21,N,Y
R26681QQ1VQD79,1,21,28,N,Y
R16RY6Z3G3W2OO,4,20,28,N,Y
RBM6XK1RUENSG,2,19,26,N,Y
R3T01D49IKNSS7,5,15,20,N,Y
R3DSJHYJ75GB4M,4,55,58,N,Y
R3MQQP0Y6X4PIN,1,5,20,N,Y
R22CKDQXSWLQF4,3,22,29,N,N
R10FKLLBJAXPS3,3,20,23,N,Y
R15SCMH92EQ7YS,5,48,51,N,Y
RK3QJ4HN17BZA,4,21,32,N,Y
RGRUY9KYHZK8N,5,65,78,N,Y
R2JOFJGS34FTE,3,2,21,N,Y
R1CM7H9QKU39X8,1,18,33,N,N
R20OPZNO30RAUG,1,12,27,N,N
R1BIVJSFZMU8JV,1,16,36,N,N
RNGN2RQ34I0OE,1,26,52,N,Y
R1YL0HA74Y914L,1,33,52,N,N
R1M8IDU9R9HNZ7,1,28,47,N,N
R1FYUVJLYTMIUE,4,33,33,N,Y
R1BY51NL889UT6,5,20,21,N,Y
R1F5KSJNLQSZ1Q,5,18,20,N,Y
R7C3R3VS8J9J6,5,53,57,N,N
RLYM88LXNXQ6V,5,6,26,N,N
R3KVG861PZ0HHX,4,9,54,N,N
R324D3H87PFVEI,2,21,26,N,N
R3SG4CR9U1O89D,5,21,23,N,Y
R1YTBKRLBSRMJ6,4,33,36,N,Y
R3B5ZM7ZMXZG3V,5,55,56,N,N
RCPPUXZ5G8X29,5,23,25,N,N
RYC7QMLRVFIU0,5,20,21,N,N
R37738RQ31227Q,4,22,23,N,Y
R1Z3DG844M369Q,5,65,69,N,N
R1135D6MVNZREA,5,30,35,N,N
R3F57TE2BBCYK2,5,25,25,N,N
R343CEGZLW2P6D,4,21,21,N,N
R2JLJVRVBI1U6P,5,67,71,N,N
R3SUZ568VHKS4T,5,34,35,N,N
R1QYLEZ0XY6U6E,5,12,46,N,N
R2ST8JGGBDIVWW,4,9,40,N,N
R386E96GRCM9NS,1,28,34,N,Y
R20R7YNTXTRLVG,5,53,58,N,N
R35K3PYO0QOTSP,4,210,214,N,Y
R22X6L7Z46YHHH,5,23,23,N,N
R3RBKORDAFAPVT,5,3,25,N,Y
R1QJU766OL0WFK,5,31,33,N,Y
R2SNO5OTKWU4YQ,4,4,29,N,N
R3ME4Y78W6GRYR,5,20,22,N,N
R2IO1D3HCL2X6T,1,1,26,N,Y
RUZE39ONOE4XZ,4,92,135,N,N
RJ43IA05LTNI5,1,20,31,N,N
R2X70O4AX2YYUP,5,26,30,N,N
R2PRIAYXK12EUH,1,74,93,N,N
R2LI7A8Z5LVVQF,3,26,33,N,N
R25V28TDHNIUZS,4,27,30,N,Y
R352ODU4459ZRM,5,68,70,N,Y
R3A7LEJ7LWJEBQ,5,20,21,N,Y
R2CQNPYTMGREK9,5,25,25,N,Y
R3SOI24ZAT1867,4,32,35,N,Y
R3ME2X86JDNV5H,1,2,26,N,N
R1XXBI5Q279XRT,5,21,22,N,Y
R19Y4GN4F9BOIX,5,29,31,N,Y
RSOOK4ZL3C8NC,1,24,36,N,Y
R2SY3HZVQXAKZI,5,35,39,N,N
RF2A5P2P91OR8,2,49,56,N,N
R3VZ7SK8CY4QDZ,2,45,47,N,Y
R2LHXGQYDHEDFB,3,29,33,N,Y
R2G3JMV1OSOLXA,5,20,22,N,Y
R3D4C8KDZY3M9D,5,19,22,N,N
R156GICIUCDJAK,4,30,31,N,Y
RRW8EVK387KLT,5,1,62,N,N
R1O2J9SQ52USND,5,26,28,N,Y
R2ZKYFUZWNW9II,1,41,44,N,Y
R3TTJY8D4F5PEC,5,88,96,N,N
R36M2CLVWPC1J5,4,30,42,N,N
RVVAT0G1BUV9H,1,17,20,N,N
R27UOF6BBELCLH,1,33,379,N,N
RH40K3WAMWMIC,5,19,26,N,Y
RXHIW3MR3OCFP,5,106,122,N,N
R2XIWS4ZXZ3VWR,1,53,92,N,Y
R31AAYPATPOUIF,5,40,44,N,Y
R38HVKGTAYKFTZ,5,9,43,N,Y
R2LO82XZI6NAW5,4,31,34,N,Y
R25LET6RC2GGMR,5,83,95,N,Y
R1DCKAYYGF6MRH,5,27,29,N,Y
R162O1NOWVUIPU,5,36,48,N,N
R1NDOBR2TK63XS,1,30,40,N,Y
R32ACTZ53UB7R9,5,29,30,N,Y
R3DWQ61GSZ3WYS,5,148,181,N,Y
R4LANIHO6EXAH,4,35,35,N,Y
R3V26MZUOWAUA4,3,35,45,N,Y
R38OLNY5GR1PW6,5,44,44,N,Y
R2GK7RJNIAREIT,1,30,32,N,Y
R2OWRP6FXXECMK,1,42,44,N,Y
R260E9JPZZZ01Q,2,10,27,N,N
ROR2FE6Y8EZYG,5,19,22,N,Y
R3LXTGRG4QSBR6,2,0,20,N,Y
R1UWNRDWUZR68D,3,60,60,N,Y
R3COCXR5VVBUOT,5,29,29,N,Y
RIJYX8PG45XOB,5,51,52,N,Y
R2WPARQ94X1HCG,1,0,22,N,Y
R24PUIWP0XB411,1,27,27,N,Y
RBYFK3W84LW9F,2,32,37,N,Y
RT880ROJ1I4Z5,5,22,31,N,N
R2ICLUNZ6A5DXB,1,16,23,N,Y
R3H11HIP4SCL9V,5,31,33,N,Y
RPG85MPSR10JG,1,23,26,N,Y
R2UAVRDG3AUF3K,5,14,21,N,N
RVT8UJT2ZL27J,4,1,21,N,N
R2CEZU1K5CVLRL,1,17,22,N,Y
R1JPDLKKM3Y4HS,1,95,112,N,Y
R2ZHAMVAB3BNTU,1,22,32,N,N
R1PO0NACVEVMZ7,1,6,21,N,Y
R12VGNPXD45DUA,1,28,36,N,N
R3J2DPYUH6453D,5,136,153,Y,N
RG5MCPWSDW1G5,5,57,65,N,Y
RQS46O5TXORNP,3,60,65,N,Y
R2MC25O4V4AB1A,4,90,128,N,N
R3G2VF93TYJIYU,5,44,48,N,N
R3PLNRCAIHS539,5,64,66,N,N
RF1B1X4584Z5N,2,82,116,N,N
R1IVQFL30WVAYB,1,18,20,N,Y
R3G0XB1T3ZL2ZM,1,97,97,N,N
R1RX3KVPHUNGBR,1,16,22,N,N
R2IF4KQR4L1R9N,1,18,20,N,N
RNALDOJJEALZC,5,24,27,N,N
R2OYAQN3ZDT1SE,1,16,20,N,Y
R2W22DS15HJI07,3,10,26,N,Y
R3F4NABLBNUZY2,2,51,55,N,Y
R3KSX1RJHZL83M,5,27,28,N,N
R3DPJRA9UAZQEP,5,109,116,N,Y
R30FQ0TIHWJ8B3,5,30,33,N,N
RUKG21WLW05CY,4,1572,1610,N,Y
R3GLOA3W0VPPCQ,5,29,31,N,Y
R2V5JZTTCGBKOO,1,15,21,N,Y
R29UMWMSE9NX2W,5,33,33,N,Y
R2I5JGIEILKPPM,5,97,106,N,Y
R2Q2D8D0XQ0J8N,4,50,52,N,N
R3RF2B7Q126W1A,5,122,135,N,N
R3DVWDAZL9QSFW,5,18,21,N,Y
R5ABA2SNEI5AD,1,1,28,N,Y
R25UMOFXV1V29P,5,46,49,N,N
R1PKRY6PKM3342,5,148,155,N,N
R1CN6LUBRHW0N2,5,16,24,N,Y
ROBF118PV0BFJ,1,89,101,N,Y
R1B0KHJAXV1XZ5,5,24,27,N,Y
R3D8Z0ON3R0ZW8,5,30,31,N,Y
R1PNCGNJ7H284F,1,39,39,N,Y
R2FJSRQM6ZT6XE,5,31,35,N,Y
R67QAAC5ZSPW3,1,26,345,N,N
R256XB14E78LGJ,1,113,126,N,Y
R3B9P7UD1SKVRO,5,30,30,N,Y
R3DT7KPB3KCKDH,5,19,20,N,N
RRHIOOGNLIA05,5,95,97,N,N
R3MHJTN19DY5IA,5,68,83,N,N
R3HDRN0CM7S12X,1,28,62,N,Y
R1CZY8IUE7HIPT,1,22,22,N,N
R3TOIHNZZHIFY8,5,28,31,N,N
RAWRKYL5J50A1,1,27,29,N,Y
R3FAGGNY575U33,5,19,21,N,Y
R2QDCFZPRLZ0CQ,5,30,31,N,Y
RB11YR5R9TH4M,5,32,35,N,Y
R2VHBE2WP59D38,1,4,25,N,Y
RG16V3WWSSMQ0,5,43,43,N,Y
R1SE2ESC2861A6,1,7,242,N,N
R2MENVLC8691KC,5,31,38,N,Y
RMQO678BGAZWK,5,124,125,N,Y
R324P6J5GFULIX,1,19,22,N,N
R2E2APPI0H7JG0,1,19,24,N,Y
RSBY17YC7DDJI,5,18,22,N,Y
RXZ1W894V2D1J,1,19,28,N,Y
R1YHWLXOJWUF2H,5,155,157,N,N
R2421GR7B2HZNF,5,20,23,N,Y
RRKNTNO4I1MYN,5,74,79,N,Y
R24C7L3O4XR2FQ,1,20,20,N,N
R2CHCA2H25W0VH,5,32,37,N,Y
R336YXGH9TF636,1,3,32,N,Y
R35UC6YLPP28ZQ,5,34,34,N,Y
R21PBBDYRZYTYV,1,4,117,N,N
R2SVXB60A75WLZ,4,26,28,N,N
R38CO2KXA7KPFY,5,391,439,N,Y
R1MCD72GUWP45G,5,22,30,N,Y
R1LQK7YDKQJBUF,1,16,22,N,Y
R66473GO5BUC0,1,52,52,N,Y
RZHGKEORTSSDI,1,5,21,N,Y
R3T636ZYEDIA9G,2,100,115,N,N
R248NF8JDS4KJM,5,106,110,N,Y
R2WHGNQ74RK8SE,2,65,65,N,Y
R25QTFLERWK6SJ,3,852,956,Y,N
R3JN0MIQI1JYDC,4,112,116,N,Y
R2TKEYJG4C7QDC,5,61,66,N,Y
R17M1W7GB9XUD3,5,123,143,N,Y
R10I80262FFJXV,4,31,36,N,Y
R1Z31POHKDFV9Q,1,65,77,N,Y
R27AI0K19OPMPL,5,19,20,N,Y
R1D96OVNWQM5GJ,1,1,20,N,Y
R1S9BGXF7Z2QSQ,4,103,111,N,Y
R1PE6S6PQDRLUR,1,1,31,N,Y
R38458YYYU545D,4,45,49,N,Y
R2M2A7N68T08WD,1,1,22,N,N
RAK2SFJ5TC5PM,1,11,22,N,Y
R2CXRMSU4CDW2T,5,7,37,N,Y
R17D2GJ4CFN2PC,1,20,28,N,N
RTIMZ9PNBQS6X,5,23,25,N,Y
R37QUXZ90FECSD,1,27,35,N,N
R216KVM7Q1V9AK,3,218,243,N,Y
RLVZB4CBXQQEA,1,12,204,N,N
R6171D0BM5GPF,2,42,49,N,Y
RA319I9GG7XJF,1,50,60,N,Y
RQS6OC58KJVCI,5,37,37,N,N
R176ADFVCH9TFV,5,54,55,N,Y
R310P7OOFTP0QA,5,20,20,N,N
R1MCQD0NPOLZOC,5,20,23,N,Y
R2REGS2MU6MZB4,1,65,68,N,Y
R20JGFH3WO0A6Y,1,4,65,N,Y
R93X02XGUR3FQ,1,41,41,N,Y
R2Z2UXU4WZAAPW,1,127,144,N,Y
RAKYFGE2TJBJC,1,46,58,N,Y
R2GRIRJLYT8LI,1,64,69,N,Y
R1WVOMGIAXSF2F,1,4,21,N,Y
R27Q17A1TYRP0J,5,24,26,N,Y
R39KNLX7A04DON,1,25,27,N,Y
RAUA8TLS6W1NE,1,0,30,N,Y
R3HWKSNQOH6RMR,1,38,39,N,Y
R37F198HLCP4OG,5,30,32,N,N
R3BVL3SD5V34H0,2,28,29,N,N
R2T89XVI4D1F5W,5,48,50,N,Y
R2OE491FAZJJRU,5,39,44,N,Y
R3EP1K111B0PEA,5,23,24,N,Y
RLV5PZ99MMR4F,1,21,40,N,N
RV07TNIIEHPSF,3,16,33,N,Y
R29NNL3E6U4S4E,5,35,37,N,Y
R1QBIYSANKH0KE,5,94,121,N,N
R2A9ZRU2DH6NX7,3,24,27,N,N
R1OG01B4CVHZQY,1,9,52,N,Y
RP4P5JH402FB5,5,34,35,N,Y
R2B0G61HMWSS2E,1,41,44,N,N
R3OR947JEI5RBL,5,26,26,N,Y
RL649S0QIKOVE,1,32,48,N,Y
R4LU5GL13ONEN,5,11,50,N,N
R2PF11XYGA8C32,5,23,25,N,N
R1IZ33RBA56MKG,1,3,28,N,N
RWWZ9J7LGK2EQ,1,42,42,N,Y
R1KCUKXT8MORKM,3,60,64,N,Y
R1JKSSRE118XBW,1,15,76,N,Y
R27DKC9X3PMFKB,5,29,32,N,N
R273CTUPALGV49,1,28,40,N,Y
R2Z91MUHX65FD8,2,2,23,N,Y
R1BR03XXIDHYS7,5,39,45,N,Y
R19FQX917U107V,5,102,106,N,Y
R95P3M21SQP7P,5,38,39,N,N
R11VXFBP4VW3RQ,1,32,33,N,Y
R16JJT5GISO0IL,2,18,21,N,Y
REFSNC8SNI16T,3,69,71,N,Y
R11J2LQB48SGR9,5,110,122,N,N
R3A039PY4A4S8C,5,20,20,N,Y
R2Z4CMK3WAFLAC,3,1,28,N,Y
RJYVKQ2SZ6OWW,5,94,98,N,Y
RGU8V19DOI5VT,5,36,37,N,Y
R2NYGVS9LTQ90D,1,8,445,N,N
R20RE9VGKVFP69,1,18,23,N,Y
R22AEY242K1SDR,1,15,20,N,N
R1YWTJN1M9O0FH,1,25,32,N,N
ROY0LVDMGFP5Z,5,76,83,N,Y
RLDA9M1PDTVPB,5,22,23,N,Y
R35TQWQQGCI1ZO,5,24,25,N,Y
R2X2WDCMSYBV5,1,19,24,N,Y
R3HVJFCSMDPINX,5,70,78,N,Y
RQYQC07LTMGOF,5,76,76,N,Y
R2F8FV9ASAJRPJ,5,107,112,N,N
R1IQBL0R92VKTW,1,1,80,N,Y
RCEP9YXC84VN2,2,589,753,N,Y
R1RZNMQEK71AT9,5,41,43,N,N
R15V8QXCQQJI5F,2,26,27,N,Y
R1QZFFU423VH6K,5,25,28,N,Y
